"FIPS","NH3","NOX","PM25","SO2","VOCA","A_NH3","A_NOX","A_PM25","A_SO2","A_VOCA","A_NH3_BEN","A_NOX_BEN","A_SO2_BEN","A_PM25_BEN","A_VOCA_BEN"
1001,56935,16129,92946,46895,4161.7,0,-79.932,-1.684,-2.4728,-44.98,0,-1289223.228,-115961.956,-156521.064,-187193.266
1003,148030,33849,230220,101090,10308,0,-285.87,-5.3859,-9.6952,-163.49,0,-9676413.63,-980087.768,-1239941.898,-1685254.92
1005,43901,15462,73792,44829,3304.1,0,-55.444,-1.1819,-2.0903,-34.455,0,-857275.128,-93706.0587,-87214.7648,-113842.7655
1007,50272,15706,82244,45595,3682.6,0,-32.773,-0.65416,-1.0213,-19.137,0,-514732.738,-46566.1735,-53800.73504,-70473.9162
1009,88255,24120,140820,65108,6305.3,0,-84.526,-1.7721,-2.4964,-46.852,0,-2038767.12,-162535.6112,-249547.122,-295415.9156
1011,52839,16238,87315,46813,3909.6,0,-20.964,-0.40622,-0.65333,-12.376,0,-340413.432,-30584.33729,-35469.0993,-48385.2096
1013,35903,13489,61155,39535,2738.3,0,-89.829,-1.8527,-2.6323,-49.658,0,-1211703.381,-104067.9805,-113301.8685,-135978.5014
1015,107280,26313,169660,71604,7596.9,0,-334.71,-7.8593,-11.883,-200.94,0,-8807224.23,-850870.332,-1333408.838,-1526521.086
1017,94726,22265,149750,62831,6705.2,0,-56.567,-1.2525,-1.8757,-32.854,0,-1259464.255,-117852.1067,-187561.875,-220292.6408
1019,100200,26144,158590,70375,7101,0,-40.62,-0.86692,-1.5376,-23.152,0,-1061969.28,-108208.6,-137484.8428,-164402.352
1021,60771,17281,98672,50106,4418.1,0,-102.57,-2.1523,-2.941,-55.5,0,-1772512.17,-147361.746,-212371.7456,-245204.55
1023,32725,12641,55828,37364,2499.8,0,-25.624,-0.49106,-0.92402,-15.249,0,-323912.984,-34525.08328,-27414.89768,-38119.4502
1025,36306,13376,61461,39779,2752,0,-42.559,-0.83918,-1.5328,-25.803,0,-569269.184,-60973.2512,-51576.84198,-71009.856
