"FIPS","NH3","NOX","PM25","SO2","VOCA","A_NH3","A_NOX","A_PM25","A_SO2","A_VOCA","A_NH3_BEN","A_NOX_BEN","A_SO2_BEN","A_PM25_BEN","A_VOCA_BEN","total"
4013,190330,72574,314940,83397,14102,0,-2436.2,-100.37,0,-3225.3,0,-176804778.8,0,-31610527.8,-45483180.6,253898487.2
6037,1726900,673870,2494100,1347700,111680,0,0,0,0,-955.14,0,0,0,0,-106670035.2,106670035.2
11001,1120100,122260,1581900,328050,70830,0,-673.61,-17.131,-18.7,-292.12,0,-82355558.6,-6134535,-27099528.9,-20690859.6,136280482.1
12011,375100,58337,586920,174160,26280,0,-2336.7,-45.362,-93.372,-1657.9,0,-136316067.9,-16261667.52,-26623865.04,-43569612,222771212.46
12031,234880,38264,370930,111530,16609,0,-1613.2,-36.093,-62.48,-1084.9,0,-61727484.8,-6968394.4,-13387976.49,-18019104.1,100102959.79
12057,482650,86248,740270,237810,33147,0,-1623.8,-34.312,-66.573,-1156.2,0,-140049502.4,-15831725.13,-25400144.24,-38324561.4,219605933.17
12095,409720,67834,620410,193270,27780,0,-1666.8,-34.364,-67.181,-1141.5,0,-113065711.2,-12984071.87,-21319769.24,-31710870,179080422.31
12099,234140,38763,368750,116160,16511,0,-1651.5,-32.265,-68.581,-1170.5,0,-64017094.5,-7966368.96,-11897718.75,-19326125.5,103207307.71
12103,598560,75893,868030,202060,38867,0,-1495.6,-30.472,-59.843,-1028,0,-113505570.8,-12091876.58,-26450610.16,-39955276,192003333.54
12117,835480,105350,1231300,291990,55131,0,-728.45,-15.106,-29.11,-495.8,0,-76742207.5,-8499828.9,-18600017.8,-27333949.8,131176004
12127,458570,82062,713570,238660,31951,0,-848,-17.084,-32.924,-564.39,0,-69588576,-7857641.84,-12190629.88,-18032824.89,107669672.61
13067,708210,86567,993440,218740,44483,0,-992.09,-25.192,-37.632,-549.02,0,-85882255.03,-8231623.68,-25026740.48,-24422056.66,143562675.85
13089,910580,111220,1254400,272780,56165,0,-1127.5,-28.719,-40.915,-624.67,0,-125400550,-11160793.7,-36025113.6,-35084590.55,207671047.85
13121,799780,111070,1124800,276790,50365,0,-1738.9,-44.288,-62.203,-964.45,0,-193139623,-17217168.37,-49815142.4,-48574524.25,308746458.02
13135,605280,83789,852360,203020,38165,0,-1058.6,-26.905,-40.797,-584.08,0,-88699035.4,-8282606.94,-22932745.8,-22291413.2,142205801.34
17031,838810,118330,1119800,289640,50139,0,-4908,-175.18,-161.19,-2329.9,0,-580763640,-46687071.6,-196166564,-116818856.1,940436131.7
17043,1455000,136910,1844800,325550,82603,0,-1261,-45.391,-42.078,-595.3,0,-172643510,-13698492.9,-83737316.8,-49173565.9,319252885.6
